     1                                 %line 1+1 ex01.asm
     2                                 [section .data]
     3 00000000 04                      bVar1 db 4
     4 00000001 03                      bVar2 db 3
     5 00000002 00                      bResult db 0
     6                                 
     7                                 [section .text]
     8                                 [global _start]
     9                                 _start:
    10 00000000 8A0425[00000000]        mov al,byte[bVar1]
    11 00000007 020425[00000000]        add al,byte[bVar2]
    12 0000000E 880425[00000000]        mov byte[bResult],al
    13                                 exit:
    14 00000015 48C7C03C000000          mov rax,60
    15 0000001C 48C7C700000000          mov rdi,0
    16 00000023 0F05                    syscall
